artifact	audience	doc_type	risk	status	notes
batchalign3/book/src/SUMMARY.md	developer	reference	medium	unreviewed	
batchalign3/book/src/architecture/caching.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/chat-ownership-boundary.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/chat-parsing.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/command-contracts.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/dispatch-system.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/engine-interface.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/error-handling.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/extension-layers.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/fleet-evolution.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/hk-cantonese-engines.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/overview.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/pipeline-system.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/python-rust-interface.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/rust-server-migration.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/server-architecture.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/server-known-issues.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/server-model-loading.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/type-driven-design.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/validation.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/decisions/cache-rust-migration.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/downstream-integration.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/lenient-parsing.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/long-term-architecture-charter.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/models-training-runtime-adr.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/plugin-migration-compatibility-adr.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/rust-morphosyntax-case.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/tauri-react-dashboard-adoption.md	developer	reference	medium	unreviewed	
batchalign3/book/src/developer/adding-engines.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/api-stability.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/arena-allocators.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/building.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/docx-bookmark-workflow.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/manual-anchor-audit.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/plugins.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/python-versioning.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/rust-contributor-onboarding.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/rust-core.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/rust-manual-crosswalk.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/rust-next.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/rust-workspace-map.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/tauri-react-dashboard.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/telemetry-runbook.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/testing.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/tracing-and-debugging.md	developer	developer	high	unreviewed	
batchalign3/book/src/introduction.md	developer	reference	medium	unreviewed	
batchalign3/book/src/migration/algorithms-and-language.md	user+developer	migration	critical	unreviewed	priority-1
batchalign3/book/src/migration/developer-migration.md	user+developer	migration	critical	unreviewed	priority-1
batchalign3/book/src/migration/index.md	user+developer	migration	critical	unreviewed	priority-1
batchalign3/book/src/migration/user-migration.md	user+developer	migration	critical	unreviewed	priority-1
batchalign3/book/src/reference/algorithm-audit-2026-03-07.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/align-throughput.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/alignment-structures.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/benchmarks.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/chat-format.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/command-io.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/dynamic-programming.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/filesystem-paths.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/forced-alignment.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/gra-correctness-guarantee.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/gra-format.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/japanese-morphosyntax.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/l2-handling.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/language-handling.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/media-conversion.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/morphosyntax.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/morphotag-migration-audit.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/multilingual.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/mwt-handling.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/non-english-workarounds.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/per-utterance-language-routing.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/per-word-language-routing.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/proportional-fa-estimation.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/retrace-detection.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/textgrid.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/tier-parse-leniency.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/whisper-asr.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/wor-tier-bullet-bug.md	developer	reference	high	unreviewed	
batchalign3/book/src/reference/wor-tier.md	developer	reference	high	unreviewed	
batchalign3/book/src/user-guide/cli-reference.md	user	reference	critical	unreviewed	priority-1
batchalign3/book/src/user-guide/installation.md	user	reference	high	unreviewed	
batchalign3/book/src/user-guide/plugins.md	user	reference	high	unreviewed	
batchalign3/book/src/user-guide/python-api.md	user	reference	high	unreviewed	
batchalign3/book/src/user-guide/quick-start.md	user	reference	critical	unreviewed	priority-1
batchalign3/book/src/user-guide/rev-ai.md	user	reference	high	unreviewed	
batchalign3/book/src/user-guide/rust-server.md	user	reference	high	unreviewed	
batchalign3/book/src/user-guide/server-mode.md	user	reference	critical	unreviewed	priority-1
batchalign3/book/src/user-guide/troubleshooting.md	user	reference	critical	unreviewed	priority-1
batchalign3/.pytest_cache/README.md	developer	readme	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/httpcore-1.0.9.dist-info/licenses/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/httpx-0.28.1.dist-info/licenses/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/huggingface_hub/templates/datasetcard_template.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/huggingface_hub/templates/modelcard_template.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/idna-3.11.dist-info/licenses/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/nltk-3.9.3.dist-info/licenses/AUTHORS.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/nltk-3.9.3.dist-info/licenses/README.md	developer	readme	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/numpy/random/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/numpy-2.4.2.dist-info/licenses/numpy/_core/src/npysort/x86-simd-sort/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/numpy-2.4.2.dist-info/licenses/numpy/fft/pocketfft/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/numpy-2.4.2.dist-info/licenses/numpy/random/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/numpy-2.4.2.dist-info/licenses/numpy/random/src/distributions/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/numpy-2.4.2.dist-info/licenses/numpy/random/src/mt19937/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/numpy-2.4.2.dist-info/licenses/numpy/random/src/pcg64/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/numpy-2.4.2.dist-info/licenses/numpy/random/src/philox/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/numpy-2.4.2.dist-info/licenses/numpy/random/src/sfc64/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/numpy-2.4.2.dist-info/licenses/numpy/random/src/splitmix64/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv/lib/python3.12/site-packages/torchgen/packaged/autograd/README.md	developer	readme	medium	unreviewed	
batchalign3/.venv-314t/lib/python3.14t/site-packages/httpcore-1.0.9.dist-info/licenses/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv-314t/lib/python3.14t/site-packages/httpx-0.28.1.dist-info/licenses/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv-314t/lib/python3.14t/site-packages/huggingface_hub/templates/datasetcard_template.md	developer	reference	medium	unreviewed	
batchalign3/.venv-314t/lib/python3.14t/site-packages/huggingface_hub/templates/modelcard_template.md	developer	reference	medium	unreviewed	
batchalign3/.venv-314t/lib/python3.14t/site-packages/idna-3.11.dist-info/licenses/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv-314t/lib/python3.14t/site-packages/nltk-3.9.2.dist-info/licenses/AUTHORS.md	developer	reference	medium	unreviewed	
batchalign3/.venv-314t/lib/python3.14t/site-packages/nltk-3.9.2.dist-info/licenses/README.md	developer	readme	medium	unreviewed	
batchalign3/.venv-314t/lib/python3.14t/site-packages/numpy/random/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv-314t/lib/python3.14t/site-packages/starlette-0.52.1.dist-info/licenses/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/.venv-314t/lib/python3.14t/site-packages/torchgen/packaged/autograd/README.md	developer	readme	medium	unreviewed	
batchalign3/.venv-314t/lib/python3.14t/site-packages/uvicorn-0.41.0.dist-info/licenses/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/CLAUDE.md	developer	reference	medium	unreviewed	
batchalign3/README.md	user	reference	critical	unreviewed	priority-1
batchalign3/apps/dashboard-desktop/README.md	developer	readme	medium	unreviewed	
batchalign3/apps/dashboard-desktop/node_modules/@tauri-apps/cli/CHANGELOG.md	developer	reference	medium	unreviewed	
batchalign3/apps/dashboard-desktop/node_modules/@tauri-apps/cli/README.md	developer	readme	medium	unreviewed	
batchalign3/apps/dashboard-desktop/node_modules/@tauri-apps/cli-darwin-arm64/README.md	developer	readme	medium	unreviewed	
batchalign3/benchmarks/README.md	developer	readme	medium	unreviewed	
batchalign3/crates/batchalign-app/CLAUDE.md	developer	reference	medium	unreviewed	
batchalign3/crates/batchalign-chat-ops/CLAUDE.md	developer	reference	medium	unreviewed	
batchalign3/crates/batchalign-cli/CLAUDE.md	developer	reference	medium	unreviewed	
batchalign3/frontend/CLAUDE.md	developer	reference	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/@axe-core/playwright/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/@playwright/test/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/axe-core/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/axe-core/locales/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/fsevents/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/playwright/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/playwright/lib/agents/playwright-test-coverage.prompt.md	developer	reference	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/playwright/lib/agents/playwright-test-generate.prompt.md	developer	reference	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/playwright/lib/agents/playwright-test-generator.agent.md	developer	reference	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/playwright/lib/agents/playwright-test-heal.prompt.md	developer	reference	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/playwright/lib/agents/playwright-test-healer.agent.md	developer	reference	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/playwright/lib/agents/playwright-test-plan.prompt.md	developer	reference	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/playwright/lib/agents/playwright-test-planner.agent.md	developer	reference	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/playwright-core/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/e2e/node_modules/ws/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/code-frame/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/compat-data/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/core/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/generator/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/helper-compilation-targets/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/helper-globals/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/helper-module-imports/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/helper-module-transforms/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/helper-plugin-utils/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/helper-string-parser/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/helper-validator-identifier/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/helper-validator-option/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/helpers/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/parser/CHANGELOG.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/parser/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/plugin-transform-react-jsx-self/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/plugin-transform-react-jsx-source/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/template/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/traverse/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@babel/types/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@esbuild/darwin-arm64/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@jridgewell/gen-mapping/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@jridgewell/remapping/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@jridgewell/resolve-uri/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@jridgewell/sourcemap-codec/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@jridgewell/trace-mapping/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@redocly/ajv/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@redocly/config/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@redocly/openapi-core/CHANGELOG.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/@redocly/openapi-core/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@redocly/openapi-core/src/__tests__/fixtures/resolve/description.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/@redocly/openapi-core/src/rules/oas2/__tests__/spec/fixtures/description.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/@redocly/openapi-core/src/rules/oas3/__tests__/spec/fixtures/description.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/@rolldown/pluginutils/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@rollup/rollup-darwin-arm64/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@tailwindcss/node/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@tailwindcss/oxide-darwin-arm64/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@tailwindcss/vite/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@tanstack/react-query/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@tanstack/react-query/build/codemods/src/v5/keep-previous-data/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@types/babel__core/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@types/babel__generator/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@types/babel__template/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@types/babel__traverse/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@types/estree/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@types/react/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@types/react-dom/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/@vitejs/plugin-react/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/agent-base/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/ansi-colors/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/argparse/CHANGELOG.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/argparse/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/babel-plugin-react-compiler/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/balanced-match/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/balanced-match/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/baseline-browser-mapping/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/brace-expansion/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/browserslist/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/caniuse-lite/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/change-case/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/colorette/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/colorette/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/convert-source-map/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/csstype/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/debug/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/detect-libc/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/electron-to-chromium/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/enhanced-resolve/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/esbuild/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/esbuild/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/escalade/readme.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/fast-deep-equal/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/fast-uri/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/fdir/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/fsevents/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/gensync/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/graceful-fs/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/https-proxy-agent/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/index-to-position/readme.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/jiti/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/js-levenshtein/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/js-tokens/CHANGELOG.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/js-tokens/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/js-yaml/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/jsesc/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/json-schema-traverse/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/json5/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/json5/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/lightningcss/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/lightningcss-darwin-arm64/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/lru-cache/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/magic-string/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/minimatch/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/mitt/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/ms/license.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/ms/readme.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/nanoid/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/node-releases/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/openapi-typescript/CHANGELOG.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/openapi-typescript/CONTRIBUTING.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/openapi-typescript/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/parse-json/readme.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/picocolors/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/picomatch/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/pluralize/Readme.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/postcss/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/react/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/react-dom/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/react-refresh/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/regexparam/readme.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/require-from-string/readme.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/rollup/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/rollup/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/scheduler/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/semver/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/source-map-js/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/supports-color/readme.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/tailwindcss/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/tapable/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/tinyglobby/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/type-fest/readme.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/typescript/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/typescript/SECURITY.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/update-browserslist-db/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/use-sync-external-store/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/vite/LICENSE.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/vite/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/wouter/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/yallist/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/yaml-ast-parser/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/yargs-parser/CHANGELOG.md	developer	reference	medium	unreviewed	
batchalign3/frontend/node_modules/yargs-parser/README.md	developer	readme	medium	unreviewed	
batchalign3/frontend/node_modules/zustand/README.md	developer	readme	medium	unreviewed	
batchalign3/pyo3/CLAUDE.md	developer	reference	medium	unreviewed	
batchalign3/rust-next/CLAUDE.md	developer	reference	medium	unreviewed	
batchalign3/rust-next/README.md	developer	readme	medium	unreviewed	
batchalign3/.github/workflows/dashboard-desktop.yml	developer	workflow	critical	unreviewed	priority-1
batchalign3/.github/workflows/docs.yml	developer	workflow	critical	unreviewed	priority-1
batchalign3/.github/workflows/release-cli.yml	developer	workflow	critical	unreviewed	priority-1
batchalign3/.github/workflows/release.yml	developer	workflow	critical	unreviewed	priority-1
batchalign3/.github/workflows/test.yml	developer	workflow	critical	unreviewed	priority-1
batchalign3/cli-pyproject.toml	developer	metadata	critical	unreviewed	priority-1
batchalign3/pyproject.toml	developer	metadata	critical	unreviewed	priority-1
